GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sprint_4,com,Account,0,65,1,13,0,16,1,8,0,2
Sprint_4,com,Praktikum,12,0,0,0,4,0,2,0,2,0
